DATE,JHGDPBRINDX
1967/10/1,3.8348
1968/1/1,1.7614
1968/4/1,1.2127
1968/7/1,2.3009
1968/10/1,6.3338
1969/1/1,12.9501
1969/4/1,20.4605
1969/7/1,45.7028
1969/10/1,89.2282
1970/1/1,97.60567
1970/4/1,91.58425
1970/7/1,94.99551
1970/10/1,94.65547
1971/1/1,15.8729
1971/4/1,10.0115
1971/7/1,12.1518
1971/10/1,3.5814
1972/1/1,0.964
1972/4/1,0.276
1972/7/1,0.7746
1972/10/1,0.3639
1973/1/1,0.72
1973/4/1,10.0296
1973/7/1,19.8841
1973/10/1,71.9536
1974/1/1,99.648569
1974/4/1,99.174259
1974/7/1,99.342038
1974/10/1,99.9832416
1975/1/1,99.9865102
1975/4/1,42.8397
1975/7/1,0.0672
1975/10/1,0.4978
1976/1/1,0.0751
1976/4/1,0.9257
1976/7/1,1.6889
1976/10/1,2.4093
1977/1/1,0.2736
1977/4/1,0.3853
1977/7/1,0.6147
1977/10/1,7.3542
1978/1/1,11.9245
1978/4/1,0.2936
1978/7/1,2.0133
1978/10/1,0.8238
1979/1/1,48.5343
1979/4/1,69.9795
1979/7/1,40.423
1979/10/1,39.0095
1980/1/1,81.7206
1980/4/1,99.849101
1980/7/1,36.7129
1980/10/1,6.7877
1981/1/1,1.5912
1981/4/1,60.2406
1981/7/1,78.8921
1981/10/1,98.99231
1982/1/1,99.071215
1982/4/1,78.7172
1982/7/1,92.21919
1982/10/1,84.5
1983/1/1,31.6146
1983/4/1,0.5399
1983/7/1,0.2988
1983/10/1,0.7423
1984/1/1,0.0613
1984/4/1,0.5826
1984/7/1,7.2605
1984/10/1,6.8803
1985/1/1,29.9844
1985/4/1,18.974
1985/7/1,17.205
1985/10/1,26.5589
1986/1/1,9.9812
1986/4/1,19.779
1986/7/1,16.2139
1986/10/1,13.8915
1987/1/1,6.7707
1987/4/1,5.8424
1987/7/1,2.4428
1987/10/1,2.272
1988/1/1,3.0766
1988/4/1,5.3814
1988/7/1,7.7538
1988/10/1,4.1657
1989/1/1,4.9025
1989/4/1,5.6023
1989/7/1,9.273
1989/10/1,12.4675
1990/1/1,28.8838
1990/4/1,40.5987
1990/7/1,79.5802
1990/10/1,95.06845
1991/1/1,97.02841
1991/4/1,90.22813
1991/7/1,80.7474
1991/10/1,78.3073
1992/1/1,62.6369
1992/4/1,53.5841
1992/7/1,23.8627
1992/10/1,14.1814
1993/1/1,35.3155
1993/4/1,20.8589
1993/7/1,8.3944
1993/10/1,2.597
1994/1/1,4.4372
1994/4/1,3.9199
1994/7/1,2.8478
1994/10/1,2.6367
1995/1/1,11.7709
1995/4/1,9.7503
1995/7/1,32.8022
1995/10/1,32.5109
1996/1/1,21.1399
1996/4/1,10.5098
1996/7/1,7.6793
1996/10/1,5.0467
1997/1/1,4.2993
1997/4/1,4.3724
1997/7/1,4.4294
1997/10/1,3.5717
1998/1/1,2.9301
1998/4/1,6.2395
1998/7/1,2.7292
1998/10/1,0.9708
1999/1/1,2.4191
1999/4/1,4.9806
1999/7/1,1.0737
1999/10/1,0.3269
2000/1/1,0.8612
2000/4/1,1.1362
2000/7/1,8.1903
2000/10/1,16.1503
2001/1/1,27.0051
2001/4/1,58.222
2001/7/1,83.8343
2001/10/1,35.9217
2002/1/1,22.878
2002/4/1,19.7386
2002/7/1,16.6382
2002/10/1,22.0288
2003/1/1,23.8258
2003/4/1,5.5773
2003/7/1,0.9495
2003/10/1,2.2134
2004/1/1,3.1965
2004/4/1,4.3
2004/7/1,4.2
2004/10/1,3.4
2005/1/1,4.7
2005/4/1,4.8
2005/7/1,7.4
2005/10/1,7.1
2006/1/1,3.4
2006/4/1,9.3
2006/7/1,9.1
2006/10/1,16.9
2007/1/1,26.2
2007/4/1,9.5
2007/7/1,7.7
2007/10/1,26.9
2008/1/1,38.4
2008/4/1,46.1
2008/7/1,88.4
2008/10/1,99.5
2009/1/1,99.7
2009/4/1,84.6
2009/7/1,37.6
2009/10/1,7.7
2010/1/1,5.4
2010/4/1,9.1
2010/7/1,5.3
2010/10/1,5.2
2011/1/1,14.4
2011/4/1,10.3
2011/7/1,7.4
2011/10/1,4
2012/1/1,5.7
2012/4/1,7.9
2012/7/1,8.2
2012/10/1,9.2
2013/1/1,30.5
2013/4/1,12.41
2013/7/1,3.3
2013/10/1,9.9
2014/1/1,24.1
2014/4/1,5
2014/7/1,1.6
2014/10/1,7.9
2015/1/1,13.3
2015/4/1,5.6
2015/7/1,10
2015/10/1,15.7
2016/1/1,22.5
2016/4/1,12.2
2016/7/1,5.3
2016/10/1,8.4
2017/1/1,8.2
2017/4/1,3.3
2017/7/1,2.4
2017/10/1,2.4
2018/1/1,2.7
2018/4/1,1.1
2018/7/1,1.5
2018/10/1,2.4
2019/1/1,2.9
2019/4/1,3.9
2019/7/1,3.8
